event_id,entity_key,entity_name,entity_type,event_type,title,effective_date,portfolio_snapshot_date,location,stage,amount_band,source_value,source_value_type,corroboration_count,quality_status,source_ids,source_names,evidence_observation_ids,evidence_hashes,record_urls
EVT-28b748aeae10511e,cve-2009-1537,CVE-2009-1537,vulnerability,cyber.vulnerability.published,CVE-2009-1537 published,2009-05-29,2026-08-29,Global,published,not_applicable,8.8,cvss_base_score,1,single_source,SRC-CYBER-01,NVD historical vulnerability metadata,OBS-CYBER-01-cef359c97e70,e74e4a193da84c5ba5426044a338c5cb043a3846f63de4738b8f3ff5ba3b05d2,https://nvd.nist.gov/vuln/detail/CVE-2009-1537
EVT-27671a9c364360da,cve-2009-3459,CVE-2009-3459,vulnerability,cyber.vulnerability.published,CVE-2009-3459 published,2009-10-13,2026-08-29,Global,published,not_applicable,8.8,cvss_base_score,1,single_source,SRC-CYBER-01,NVD historical vulnerability metadata,OBS-CYBER-01-4b377e9359e8,56cb10a305807b86e57356c437ab1a0b33e405c2ada0103af688fb61d119e3c1,https://nvd.nist.gov/vuln/detail/CVE-2009-3459
EVT-f711e03e4e8ca81c,cve-2010-0249,CVE-2010-0249,vulnerability,cyber.vulnerability.published,CVE-2010-0249 published,2010-01-15,2026-08-29,Global,published,not_applicable,8.8,cvss_base_score,1,single_source,SRC-CYBER-01,NVD historical vulnerability metadata,OBS-CYBER-01-28903a70b9fc,c5fcb3051d26c16080eb4a42e5a85e1bdf2c16c335c07fa3c7850b04ff8939c0,https://nvd.nist.gov/vuln/detail/CVE-2010-0249
EVT-6468a6efb5ac5789,cve-2010-0806,CVE-2010-0806,vulnerability,cyber.vulnerability.published,CVE-2010-0806 published,2010-03-10,2026-08-29,Global,published,not_applicable,8.8,cvss_base_score,1,single_source,SRC-CYBER-01,NVD historical vulnerability metadata,OBS-CYBER-01-9a7047220272,e6cfa4c6f1c1234e2c9594f195577aad2229cb44bb8ffef534dccaf7a90d4cdd,https://nvd.nist.gov/vuln/detail/CVE-2010-0806
EVT-e8178827f75129d3,cve-2011-4088,CVE-2011-4088,vulnerability,cyber.vulnerability.published,CVE-2011-4088 published,2020-01-31,2026-08-29,Global,published,not_applicable,7.5,cvss_base_score,1,single_source,SRC-CYBER-01,NVD historical vulnerability metadata,OBS-CYBER-01-9eb6a52b51bc,2b373ce8f804456d07229010c8f16ccf5a8c5f8e820c899473e1d0ae6d3a0fde,https://nvd.nist.gov/vuln/detail/CVE-2011-4088
EVT-fdbac27bcded5bd6,cve-2012-0814,CVE-2012-0814,vulnerability,cyber.vulnerability.published,CVE-2012-0814 published,2012-01-27,2026-08-29,Global,published,not_applicable,3.5,cvss_base_score,1,single_source,SRC-CYBER-01,NVD historical vulnerability metadata,OBS-CYBER-01-dbf47d1a83e5,c8611fb17afbaa068e3832784f5089e62abd99b9be092ed7f3c6a99059747718,https://nvd.nist.gov/vuln/detail/CVE-2012-0814
EVT-53950089c4335e07,cve-2012-6435,CVE-2012-6435,vulnerability,cyber.vulnerability.published,CVE-2012-6435 published,2013-01-24,2026-08-29,Global,published,not_applicable,7.5,cvss_base_score,1,single_source,SRC-CYBER-01,NVD historical vulnerability metadata,OBS-CYBER-01-83d2c7934cc6,113faba9617d0c72c9ef2dfd88c7f1a6f26c175a3009f4a1847de0e880344f8f,https://nvd.nist.gov/vuln/detail/CVE-2012-6435
EVT-ddd3b2c373377982,cve-2012-6436,CVE-2012-6436,vulnerability,cyber.vulnerability.published,CVE-2012-6436 published,2013-01-24,2026-08-29,Global,published,not_applicable,7.5,cvss_base_score,1,single_source,SRC-CYBER-01,NVD historical vulnerability metadata,OBS-CYBER-01-b4b40765916c,e07bbf821082fb3a9e06e9b2ab2689069a098eb594388a1d6ab040b6c9fc0428,https://nvd.nist.gov/vuln/detail/CVE-2012-6436
EVT-0001157e2e12df15,cve-2012-6437,CVE-2012-6437,vulnerability,cyber.vulnerability.published,CVE-2012-6437 published,2013-01-24,2026-08-29,Global,published,not_applicable,9.8,cvss_base_score,1,single_source,SRC-CYBER-01,NVD historical vulnerability metadata,OBS-CYBER-01-7bc906e28e84,134f1c9b2993a2fab9f90b6e834c20d282adddff1aba87ac0669d054a6ab6ebf,https://nvd.nist.gov/vuln/detail/CVE-2012-6437
EVT-b36490ddceeb62cf,cve-2012-6438,CVE-2012-6438,vulnerability,cyber.vulnerability.published,CVE-2012-6438 published,2013-01-24,2026-08-29,Global,published,not_applicable,7.5,cvss_base_score,1,single_source,SRC-CYBER-01,NVD historical vulnerability metadata,OBS-CYBER-01-94a032f9888a,0f4e52bbdd5fb972184d95cdf1c7dc0b9b7f8e80cd9c14fe162ccd6ad2cf2809,https://nvd.nist.gov/vuln/detail/CVE-2012-6438
